가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크,address,tel,menu1,price,image1,menu2,price2,image2,menu3,price3,image3,menu4,price4,image4
썸모어델리,0.345,0.152,0.156,0.087,0.139,0,0,0.106,0.015,166951134,서울 마포구 동교로51길 131 1층,010-2835-0126,트러플크림프렌치토스트,"18,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220630_214%2F1656596265344TxHiw_JPEG%2FIMG_5827_2.jpg,올리브크림치즈를 넣어 구운 양송이,"15,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220526_121%2F1653543421559DycFc_JPEG%2FD33CBA85-CD28-4E77-AE60-A13554DE8A9D.jpeg,그랜마라자냐,"19,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230116_251%2F1673876573899REmwx_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2023-01-16_%25BF%25C0%25C8%25C4_10.42.34.png,에그인헬,"16,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230116_194%2F1673876666179OWzHq_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2023-01-16_%25BF%25C0%25C8%25C4_10.43.44.png
홍익분식,0.27,0.126,0,0.018,0.063,0.261,0.126,0,0.135,3139264,서울 마포구 성미산로 99,02-332-7725,,,,,,,,,,,,
키햐아 연남점,0.402,0.129,0.051,0.055,0.071,0.1,0.103,0.029,0.061,107594611,서울 마포구 동교로38길 35 3층,010-5694-1632,부타동,"10,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190702_189%2F1562041613075iaOMs_JPEG%2FZdK8ATKSoGVm1Oksnsh0np5-.jpg,연어장덮밥,"11,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190702_70%2F156204165987036AoD_JPEG%2F-fVsfOR_BK6VRO9kpZTdi1bS.jpg,규동,"9,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180111_141%2F1515655140481niBNy_JPEG%2FAQvjuCwNxVMuN-1MCozl5oM7.jpg,매콤규동,"9,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180111_273%2F1515655198016enQN4_JPEG%2Fwvv9m7hwlaB4bQh1yxnfkUJS.jpg
증증일상,0.271,0.15,0.112,0.101,0.11,0.107,0.072,0.078,0,171711549,서울 마포구 와우산로27길 62 2층,02-333-5888,_탕바오,"6,800원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230503_96%2F1683095760178cSLMS_JPEG%2F%25C5%25C1%25B9%25D9%25BF%25C0.jpg,군만두,"7,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230805_186%2F1691242664558BrJPW_JPEG%2F%25B1%25BA%25B8%25B8%25B5%25CE.jpg,소고기군만두,"6,800원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230805_72%2F1691242708410CCD16_JPEG%2F%25BC%25D2%25B0%25ED%25B1%25E2%25B1%25BA%25B8%25B8%25B5%25CE.jpg,증증일상 평일점심 세트A,"14,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230503_63%2F1683095542591IL2JE_JPEG%2F%25C1%25F5%25C1%25F5%25C0%25CF%25BB%25F3_%25BC%25BC%25C6%25AEA.jpg
피자마루 마포합정점,0.342,0.188,0.034,0.077,0.128,0.154,0.077,0,0,170577730,서울 마포구 동교로8길 58,02-6951-4482,피자마루 메뉴,변동,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221230_233%2F1672375086498y3Ahm_JPEG%2F%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA.jpg,미트러버피자,"12,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230615_209%2F1686788817116sLLzD_JPEG%2F%25B9%25CC%25C6%25AE%25B7%25AF%25B9%25F6.jpg,명란크림새우피자,"12,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230615_126%2F1686788773290TU0s1_JPEG%2F%25B8%25ED%25B6%25F5%25BD%25AC%25B8%25B2%25C7%25C1.jpg,마늘빵엣지스테이크피자,"16,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230112_89%2F16734824770202eyFY_JPEG%2F%25B8%25B6%25B4%25C3%25BB%25A7%25BF%25A7%25C1%25F6%25BD%25BA%25C5%25D7%25C0%25CC%25C5%25A9.jpg
김밥세상 연남동2호점,0.434,0.12,0,0.012,0.06,0.157,0.06,0,0.157,1186473,서울 마포구 동교로27길 77,02-324-6646,,,,,,,,,,,,
송이네,0.452,0.14,0.065,0.017,0.064,0.132,0.055,0,0.074,141597656,서울 마포구 포은로8길 21,0507-1424-2876,알찬야채김밥,"3,500원",none,오징어튀김김밥,"5,500원",none,대파된장김밥,"4,500원",none,왕오징어 1개,"1,500원",none
별자리마라탕&훠궈 무한리필 홍대점,0.367,0.092,0.043,0.052,0.129,0.121,0.101,0,0.095,103443772,서울 마포구 와우산로23길 50 지하1층,0507-1413-0589,마라탕 麻辣?(국물요리)(1인분(고기불포함)),"10,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220124_291%2F164298831598715pEE_JPEG%2FMB6lovnCD-4FNbenutWHEbuwE1rhEj1UCmJZjjNY9Ow%253D.jpg,마라탕 麻辣?(국물요리)(1.5인분(고기불포함)),"15,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220124_291%2F164298831598715pEE_JPEG%2FMB6lovnCD-4FNbenutWHEbuwE1rhEj1UCmJZjjNY9Ow%253D.jpg,마라탕 麻辣?(국물요리)(2인분(고기불포함)),"20,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220124_291%2F164298831598715pEE_JPEG%2FMB6lovnCD-4FNbenutWHEbuwE1rhEj1UCmJZjjNY9Ow%253D.jpg,마라상궈麻辣香? (소고기 50g 서비스)(1인분),"17,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220124_218%2F1642988378136Q6t8C_JPEG%2FmVCDmazyyf6wt8JRmKblwVyrOTEbIXf5KACPnOveKHI%253D.jpg
참숯불풍천장어,0.469,0.16,0.035,0.059,0.176,0.051,0.035,0.016,0,3351098,서울 마포구 포은로 9 1 층,02-335-1693,대-1판 2 마리,변동,none,대-1마리추가,변동,none,,,,,,
오스테리아샘킴,0.28,0.178,0.154,0.094,0.133,0.017,0,0.145,0,99399080,서울 마포구 양화로3길 55,02-324-3338,흰살생선과 안초비 오일 파스타,"23,000원",none,소꼬리 라구 딸리아텔레,"23,000원",none,문어와 마늘종 스파게티니,"25,000원",none,프로슈토와 루꼴라 샐러드,"17,000원",none
