가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크,address,tel,menu1,price,menu2,price2,menu3,price3,menu4,price4
상해소흘,0.458,0.099,0.193,0.012,0.06,0.096,0.066,0.009,0.006,125126797,서울 마포구 동교로 272,02-337-6188,활우러찜,"38,000원",깐풍가지,"15,000원",야채볶음면,"8,000원",짬뽕면,"8,000원"
선학분식,0.358,0.165,0.055,0.028,0.073,0.128,0.064,0.018,0.11,1837242,서울 마포구 성미산로 198,02-337-3611,해물된장찌개,"8,000원",김치찌개,"8,000원",참치김치찌개,"8,000원",순두부백반,"7,000원"
갓잇 연남점,0.408,0.136,0.113,0.068,0.107,0.032,0.066,0.071,0,169035445,서울 마포구 성미산로 161-13 1층,0507-1312-9451,A 세트 (2인 추천),"37,000원",B 세트 (2인 추천),"39,000원",C 세트 (2인 추천),"39,000원",타코 세트 (3인 추천),"52,000원"
송계옥 홍대점,0.329,0.223,0.162,0.155,0,0,0,0.131,0,108165378,서울 마포구 홍익로5길 30 1층 101호,,모둠구이 대,"44,000원",송계옥 비빔면,"9,000원",얼그레이 하이볼,"8,500원",봄나물 퉁퉁장 된장찌개,"9,000원"
실로암손만두,0.287,0.147,0.047,0,0.093,0.124,0.14,0.008,0.155,2087952,서울 마포구 성지1길 10,02-335-5646,만두국,"7,000원",칼만두,"7,000원",떡만두,"7,000원",찐만두,"6,000원"
그리스마스,0.228,0.19,0.165,0.069,0.143,0.048,0.045,0.112,0,166231443,서울 마포구 동교로46길 42-5 지층 101호,02-332-4572,Greecemas SET(2인),"29,000원",Happy Greecemas SET(2인),"30,000원",양갈비스테이크,"36,000원",Merry Greecemas SET(2인),"32,000원"
뽀빠이피자클럽,0.329,0.156,0.114,0.066,0.048,0.062,0.08,0.104,0.042,195286530,서울 마포구 와우산로29길 32 1층,0507-1358-1152,POPEYE SET 2 (2인),"26,000원",POPEYE SET 3 (3-5 인),"31,000원",POPEYE SET 4 (2-3 인),"29,000원",POPEYE SET 5 (2-4 인),"33,000원"
향미 연남동점,0.414,0.157,0.167,0.043,0.093,0.074,0.052,0,0,1168003,서울 마포구 성미산로 193,010-5835-6851,소룡포,"6,500원",멘보샤,"18,000원",깐풍가지,"22,000원",우육탕면,"8,500원"
연남광안리,0.29,0.186,0.109,0.059,0.189,0.067,0.069,0.031,0,129720486,서울 마포구 동교로 258-1 1층 연남광안리,0507-1384-7369,광안숙성회,"50,000원",대방어회,"55,000원",육반연반,"30,000원",생연어회,"30,000원"
상수동블루스,0.301,0.15,0.234,0.049,0.056,0.036,0.036,0.136,0,3347161,서울 마포구 와우산로3길 6 1층 상수동블루스,0507-1304-4026,슈바인 학센 2인,"38,000원",간장 치킨 크림파스타,"17,000원",쉬림프 오일 파스타,"17,000원",통새우 레몬 버터 파스타,"17,000원"
불떡클럽 연남본점,0.284,0.197,0.078,0.127,0.033,0.043,0.079,0.159,0,144077989,서울 마포구 양화로23길 30 2층,0507-1373-5054,오리지널,"12,900원",쉬림프 스파이시 크림,"17,900원",토마토 라구,"18,900원",바삭 크리스피,"15,900원"
작은마을밥상,0.315,0.114,0.027,0.027,0.098,0.196,0.114,0,0.109,2086389,서울 마포구 연남로 72-1,02-323-8438,백반,"7,000원",된장찌개,"8,000원",순두부찌개,"8,000원",제육백반,"9,000원"
풍천장어,0.402,0.2,0.053,0.031,0.201,0.052,0.06,0,0,1182441,서울 마포구 동교로27길 39,0507-1351-8361,장어한마리,"36,000원",기본장어2마리,"72,000원",잔치국수,"5,000원",장어육골즙 1박스,"90,000원"
오스테리아 리오,0.279,0.216,0.12,0.12,0.106,0.072,0,0.087,0,177120041,서울 마포구 어울마당로5길 50 2층 오스테리아 리오,0507-1336-2754,단품요리,변동,런치 코스요리,"49,000원",코스B,"69,000원",,
키친485,0.326,0.186,0.149,0.07,0.148,0,0.025,0.096,0,3169441,서울 마포구 양화로6길 67 1층,0507-1406-0485,새우크림 고추빠빠델레,"23,800원",프로슈토 크루도 부라타,"27,800원",꽈뜨로 포르마지 피자,"22,800원",비스마르크,"22,800원"
송가네감자탕 본점,0.362,0.16,0.051,0.066,0.083,0.109,0.114,0,0.055,1163231,서울 마포구 동교로 245,0507-1379-6557,잔치상 (대표세트메뉴),"38,000원",감자탕,"29,000원",보쌈,"22,000원",뼈해장국,"10,000원"
에이셉피자 홍대점,0.258,0.176,0.11,0.14,0,0.041,0.066,0.209,0,119375973,서울 마포구 어울마당로 49 2F,070-7631-7770,ASAP PIZZA Large,"23,900원",Korean flavor Large,"25,900원",에이셉 막걸리,"6,000원",,
동일루,0.346,0.186,0.11,0.033,0.147,0.04,0.07,0.022,0.048,3661540,서울 마포구 포은로 75 1층,02-3144-2221,우육탕면,"10,000원",하마짬뽕,"9,000원",백마짬뽕,"8,000원",쟁반짜장,"8,000원"
연우김밥,0.39,0.082,0.067,0.013,0.151,0.113,0.097,0,0.086,3578143,서울 마포구 와우산로 31 101호,02-323-0065,유부김밥,"4,500원",명태김밥,"5,000원",연우김밥,"3,500원",참치김밥,"4,500원"
우마담 정석,0.267,0.199,0.135,0.098,0.117,0.023,0.045,0.117,0,149029878,서울 마포구 양화로6길 57-16 지층,02-6083-2323,한우오마카세 Premium,"140,000원",,,,,,
남북통일,0.424,0.094,0.105,0.025,0.076,0.071,0.138,0,0.068,1171018,서울 마포구 동교로18길 37,02-3141-4113,보쌈,"35,000원",떡만두국,"10,000원",찐만두,"10,000원",닭곰탕,"10,000원"
돈화 합정본점,0.431,0.167,0.069,0.042,0.083,0.125,0.083,0,0,118619548,서울 마포구 양화로6길 10,02-3141-9798,얼룩도야지세트,"70,000원",한삼겹,"14,000원",특목살,"13,000원",항정살,"14,000원"
손오공마라탕 동교동점,0.418,0.127,0.044,0.041,0.12,0.076,0.057,0,0.117,136123327,서울 마포구 양화로18길 15 2층,02-780-8686,마라탕 100그람,"2,100원",마라상궈 100그람,"3,000원",꿔바로우,"12,000원",마라반 100그람,"2,200원"
동대문엽기떡볶이 홍대점,0.498,0.12,0.08,0,0.046,0.071,0.133,0.013,0.04,3389114,서울 마포구 와우산로27길 79,02-323-8592,마라떡볶이,"16,000원",엽기메뉴,"14,000원",로제메뉴,"16,000원",엽기닭볶음탕,"24,000원"
고구려,0.413,0.157,0.046,0.05,0.086,0.085,0.085,0,0.078,168178050,서울 영등포구 선유로49길 29-1 선유도역6번출구 도보5분거리,02-2647-3606,찹쌀탕수육小,"21,000원",군만두,"7,000원",차돌짬뽕,"11,000원",삼선쟁반짜장,"9,000원"
짬뽕지존 홍대점,0.389,0.11,0.04,0.089,0.076,0.064,0.144,0,0.089,181158637,서울 마포구 어울마당로 44-1 1층,0507-1315-6158,지존짬뽕,"12,000원",지존짜장,"8,500원",수제비짬뽕,"12,000원",쌀국수짬뽕,"12,000원"
다옴383,0.317,0.194,0.107,0.077,0.092,0.061,0.038,0.115,0,176028167,서울 마포구 동교로38길 27-14 반지층 북쪽 다옴383,0507-1310-5383,다옴 트러플 스테이크,"30,900원",다옴 스페셜 찹스테이크,"30,900원",쉬림프 올리브 파스타,"16,900원",빠네,"17,900원"
금복식당,0.328,0.096,0.066,0.03,0.098,0.136,0.071,0.013,0.162,122469324,서울 마포구 독막로14길 24,02-336-4506,고등어숯불구이정식,"8,500원",고등어구이 추가,"4,500원",함박스테이크,"11,000원",이베리코 꽃목살 샤브샤브(디너),"13,000원"
파델라,0.377,0.123,0.165,0.056,0.111,0.08,0.038,0.05,0,151369009,서울 마포구 연남로1길 11 1층,02-336-3396,게살 크림 파스타,"19,000원",가지 루꼴라 피자,"18,000원",단호박 채끝 스테이크 피자,"20,000원",명란 크림 파스타,"16,000원"
클래식당,0.361,0.197,0.113,0.062,0.089,0.058,0,0.12,0,139803115,서울 마포구 연희로1길 65 지층 클래식당,0507-1350-2243,라자냐,"19,000원",오징어먹물리조또,"18,000원",스테이크,"32,000원",쉬림프 로제 파스타,"17,000원"
김밥세상 연남점,0.32,0.176,0.011,0.015,0.056,0.161,0.099,0.004,0.159,1138763,서울 마포구 연희로 31,02-3143-7263,원조김밥,"2,500원",김치김밥,"3,000원",치즈김밥,"3,000원",샐러드김밥,"3,500원"
왕소야,0.267,0.159,0.131,0.095,0.114,0.123,0.058,0,0.053,118997052,서울 마포구 와우산로25길 13 2층,02-336-8088,게살 유산슬,"35,000원",,,,,,
제주촌삼겹살,0.385,0.16,0.027,0.043,0.07,0.209,0.107,0,0,2088336,서울 마포구 동교로 243-4,02-322-5131,갈비살,"14,000원",제주오겹살,"14,000원",삼겹살,"10,000원",항정살,"10,000원"
삼청당 홍대본점,0.248,0.087,0.115,0.084,0.127,0.064,0.053,0.031,0.193,192354710,서울 마포구 와우산로 116 1층,0507-1478-2058,아보 명란마요 김밥,"5,800원",계란김밥+명란마요,"5,400원",묵은지 김밥,"4,900원",묵은지 참치 김밥,"5,600원"
이응이응이응이응,0.274,0.168,0.144,0.069,0.068,0,0.048,0.229,0,160120474,서울 마포구 독막로 63-1 1층 2층 정원 및 루프탑,0507-1351-5507,스테이크BBQ플레터(2인),"80,000원",토마토비프리가토니,"18,000원",바질파스타,"18,000원",쉬림프잠발라야,"22,000원"
띠오 데 산타바바라 합정점,0.295,0.186,0.155,0.073,0.098,0.044,0.075,0.073,0,140666002,서울 마포구 어울마당로5길 50 지층A 띠오 데 산타바바라,0507-1469-7731,파히타플래터,"52,000원",타코,"11,500원",브리또,"13,500원",비리아 타코,"17,000원"
